produk,tanggal,harga,qty,ln_P,ln_Q
L,2021-05-17,1750.0,180,7.4673710669175595,5.19295685089021
L,2021-05-18,1750.0,130,7.4673710669175595,4.867534450455582
L,2021-05-29,1750.0,290,7.4673710669175595,5.66988092298052
L,2021-05-30,1750.0,110,7.4673710669175595,4.700480365792417
L,2021-05-31,1750.0,190,7.4673710669175595,5.247024072160486
L,2021-06-01,1750.0,60,7.4673710669175595,4.0943445622221
L,2021-06-02,1750.0,90,7.4673710669175595,4.499809670330265
L,2021-06-03,1750.0,200,7.4673710669175595,5.298317366548036
L,2021-06-04,1750.0,70,7.4673710669175595,4.248495242049359
L,2021-06-05,1750.0,70,7.4673710669175595,4.248495242049359
L,2021-06-07,1750.0,110,7.4673710669175595,4.700480365792417
L,2021-06-08,1750.0,120,7.4673710669175595,4.787491742782046
L,2021-06-09,1750.0,160,7.4673710669175595,5.075173815233827
L,2021-06-10,1750.0,120,7.4673710669175595,4.787491742782046
L,2021-06-11,1750.0,100,7.4673710669175595,4.605170185988092
L,2021-06-12,1750.0,60,7.4673710669175595,4.0943445622221
L,2021-06-13,1750.0,220,7.4673710669175595,5.393627546352362
L,2021-06-15,1750.0,110,7.4673710669175595,4.700480365792417
L,2021-06-16,1750.0,140,7.4673710669175595,4.941642422609304
L,2021-06-17,1750.0,140,7.4673710669175595,4.941642422609304
L,2021-06-18,1750.0,200,7.4673710669175595,5.298317366548036
L,2021-06-19,1750.0,50,7.4673710669175595,3.912023005428146
L,2021-06-21,1750.0,110,7.4673710669175595,4.700480365792417
L,2021-06-22,1750.0,190,7.4673710669175595,5.247024072160486
L,2021-06-23,1750.0,150,7.4673710669175595,5.0106352940962555
L,2021-06-24,1750.0,100,7.4673710669175595,4.605170185988092
L,2021-06-25,1750.0,90,7.4673710669175595,4.499809670330265
L,2021-06-26,1750.0,30,7.4673710669175595,3.4011973816621555
L,2021-06-28,1750.0,130,7.4673710669175595,4.867534450455582
L,2021-06-29,1750.0,50,7.4673710669175595,3.912023005428146
L,2021-07-01,1750.0,200,7.4673710669175595,5.298317366548036
L,2021-07-02,1750.0,110,7.4673710669175595,4.700480365792417
L,2021-07-03,1750.0,110,7.4673710669175595,4.700480365792417
L,2021-07-05,1750.0,90,7.4673710669175595,4.499809670330265
L,2021-07-06,1750.0,110,7.4673710669175595,4.700480365792417
L,2021-07-07,1750.0,120,7.4673710669175595,4.787491742782046
L,2021-07-08,1750.0,120,7.4673710669175595,4.787491742782046
L,2021-07-09,1750.0,80,7.4673710669175595,4.382026634673881
L,2021-07-10,1750.0,100,7.4673710669175595,4.605170185988092
L,2021-07-12,1750.0,50,7.4673710669175595,3.912023005428146
L,2021-07-13,1750.0,120,7.4673710669175595,4.787491742782046
L,2021-07-14,1750.0,100,7.4673710669175595,4.605170185988092
L,2021-07-15,1750.0,140,7.4673710669175595,4.941642422609304
L,2021-07-16,1800.0,60,7.495541943884256,4.0943445622221
L,2021-07-17,1800.0,110,7.495541943884256,4.700480365792417
L,2021-07-19,1750.0,110,7.4673710669175595,4.700480365792417
L,2021-07-21,1750.0,150,7.4673710669175595,5.0106352940962555
L,2021-07-22,1750.0,130,7.4673710669175595,4.867534450455582
L,2021-07-23,1750.0,90,7.4673710669175595,4.499809670330265
L,2021-07-24,1750.0,30,7.4673710669175595,3.4011973816621555
L,2021-07-26,1750.0,120,7.4673710669175595,4.787491742782046
L,2021-07-27,1750.0,110,7.4673710669175595,4.700480365792417
L,2021-07-28,1750.0,120,7.4673710669175595,4.787491742782046
L,2021-07-29,1750.0,140,7.4673710669175595,4.941642422609304
L,2021-08-02,1800.0,140,7.495541943884256,4.941642422609304
L,2021-08-03,1800.0,70,7.495541943884256,4.248495242049359
L,2021-08-04,1750.0,80,7.4673710669175595,4.382026634673881
L,2021-08-05,1800.0,130,7.495541943884256,4.867534450455582
L,2021-08-06,1800.0,120,7.495541943884256,4.787491742782046
L,2021-08-07,1800.0,120,7.495541943884256,4.787491742782046
