produk,r2_elastisitas,adj_r2_elastisitas,f_stat_elastisitas,p_value_elastisitas,status_model_elastisitas,r2_forecast,mae_forecast,rmse_forecast,mape_forecast,kategori_forecast
L,0.0017455538520472214,0.0010263503605861812,2.4270653198598167,0.11948393981188975,Tidak Layak,0.015611683008935784,36.15941501396389,47.03832770728734,50.940995520504714,Kurang Baik
M,0.0022966459765643155,0.0015344585403355149,3.013229905661995,0.08282288324491052,Tidak Layak,-0.06840402349911257,20.320137982924976,27.778038676851956,63.72742908481245,Kurang Baik
S,0.001600859879077987,0.00044262421768470617,1.3821538504110884,0.2400592132109408,Tidak Layak,-0.05661648524259899,10.418286777790948,14.511777391847604,52.41098840014485,Kurang Baik
XL,0.002983249687117273,0.0022602498681811856,4.1262108357194,0.04241524891586475,Layak,-0.030742325358004363,25.63212977169908,33.93223886116835,59.07144443547406,Kurang Baik
XXL,0.010880837569021473,0.010092694810112435,13.805668384343747,0.00021163885497768183,Layak,-0.06805327965688979,18.60804965014131,24.24018779415593,63.00434769034452,Kurang Baik
